G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-1675-MONOMER	G1GMP-1675	Q8EFZ0	TonB2 energy transduction system periplasmic component	
G1GMP-1547-MONOMER	G1GMP-1547	Q8EGC3	3-hydroxyisobutyryl-CoA hydrolase IvdE	IvdE
G1GMP-4228-MONOMER	G1GMP-4228	Q8E8T1	2-succinylbenzoate-CoA ligase	MenE
G1GMP-334-MONOMER	G1GMP-334	Q8EJV7	ATP-dependent serine peptidase S16 family YifB	YifB
G1GMP-1383-MONOMER	G1GMP-1383	Q8EGU3	glucose-1-phosphate adenylyltransferase GlgC	GlgC
G1GMP-3477-MONOMER	G1GMP-3477	Q8EAZ4	transcriptional regulator TetR family	
G1GMP-4429-MONOMER	G1GMP-4429		ISSod1, transposase OrfB	
G1GMP-4065-MONOMER	G1GMP-4065	Q8E991	hypothetical protein	
G1GMP-3297-MONOMER	G1GMP-3297	Q8EBH9	30S ribosomal protein S20 RpsT	RpsT
G1GMP-742-MONOMER	G1GMP-742	Q8EIP5	ribosome recycling factor Rrf	Rrf
G1GMP-3607-MONOMER	G1GMP-3607	Q8EAL4	protein of unknown function DUF1508	
G1GMP-876-MONOMER	G1GMP-876	Q8EIA4	split-soret diheme cytochrome c	
G1GMP-1057-MONOMER	G1GMP-1057	Q8EHR3	hypothetical protein	
G1GMP-3732-MONOMER	G1GMP-3732	Q8EA77	M28 family peptidase	
G1GMP-2065-MONOMER	G1GMP-2065	Q8EEV2	tRNA (cytidine32/uridine32-2'-O)-methyltransferase TrmJ	TrmJ
G1GMP-3968-MONOMER	G1GMP-3968	Q8E9I4	Na-dependent nicotinamide ribose transporter NupC	NupC
G1GMP-4523-MONOMER	G1GMP-4523	Q8E832	outer membrane protein A	OmpA
G1GMP-2490-MONOMER	G1GMP-2490	Q8EDN7	N-succinylarginine dihydrolase AstB	AstB
G1GMP-926-MONOMER	G1GMP-926	Q8EI51	D-alanyl-D-alanine endopeptidase PbpG	PbpG
G1GMP-514-MONOMER	G1GMP-514	Q8EJC3	two component signal transduction system histidine kinase with CHASE and PAS sensory domains	
G1GMP-618-MONOMER	G1GMP-618	Q8EJ19	Mu phage uncharacterized protein	
G1GMP-1303-MONOMER	G1GMP-1303	Q8EH23	helicase	
G1GMP-2917-MONOMER	G1GMP-2917	Q8ECK2	TRAP-type C4-dicarboxylate:H+ symport system large permease component DctM	DctM
G1GMP-3342-MONOMER	G1GMP-3342	Q8EBE2	methyl-accepting chemotaxis sensory transducer with 4HB sensory domain	
G1GMP-1628-MONOMER	G1GMP-1628	Q8EG33	extracelllular iron oxide respiratory system surface decaheme cytochrome c component OmcA	OmcA
G1GMP-4066-MONOMER	G1GMP-4066	Q8E990	FMN-dependent NADH-azoreductase AzoR	AzoR
G1GMP-3044-MONOMER	G1GMP-3044	Q8EC79	hypothetical protein	
G1GMP-1184-MONOMER	G1GMP-1184	Q8CMD3	ISSod11 transposase TnpA_ISSod11	TnpA
G1GMP-3171-MONOMER	G1GMP-3171	Q8EBU2	putative siderophore transporter component 2	
G1GMP-1468-MONOMER	G1GMP-1468	Q8EGK2	multi-domain beta-ketoacyl synthase PfaC	PfaC
G1GMP-266-MONOMER	G1GMP-266	P59301	acetylglutamate kinase	ArgB
G1GMP-1945-MONOMER	G1GMP-1945	Q8EF71	bifunctional isoaspartyl dipeptidase / l-asparaginase IaaA	IaaA
G1GMP-66-MONOMER	G1GMP-66	Q8EKM7	molybdenum cofactor biosynthesis protein MogA	MogA
G1GMP-4230-MONOMER	G1GMP-4230	Q8CMJ6	ISSod16 transposase TnpA_ISSod16	TnpA
G1GMP-988-MONOMER	G1GMP-988	Q8EHY5	predicted membrane protein	
G1GMP-744-MONOMER	G1GMP-744	Q8EIP2	protein involved in RimO-mediated beta-methylthiolation of ribosomal protein S12 YcaO	YcaO
G1GMP-877-MONOMER	G1GMP-877	Q8EIA3	transmembrane transcriptional regulator	
G1GMP-4067-MONOMER	G1GMP-4067	Q8E989	thioesterase domain protein YiiD	YiiD
G1GMP-1059-MONOMER	G1GMP-1059	Q8EHR2	periplasmic protein of unknown function DUF2607	
G1GMP-3478-MONOMER	G1GMP-3478	Q8EAZ3	hypothetical protein	
G1GMP-3610-MONOMER	G1GMP-3610	Q8EAL2	energy taxis-modulating methyl accepting sensory transducer with hemerythrin sensory domain	
G1GMP-2618-MONOMER	G1GMP-2618	Q8EDC3	protein of unknown function DUF3010	
G1GMP-4300-MONOMER	G1GMP-4300	Q8E8L0	ABC-type sulfate/thiosulfate uptakesystem permease component 1 CysT	CysT
G1GMP-4524-MONOMER	G1GMP-4524	Q8CMJ0	putative lipoprotein	
G1GMP-1721-MONOMER	G1GMP-1721	Q8EFV0	ABC-type export system ATPase component	
G1GMP-3733-MONOMER	G1GMP-3733	Q8EA75	ATP-dependent RNA helicase DeaD	DeaD
G1GMP-1818-MONOMER	G1GMP-1818	Q8EFK1	hypothetical protein	
G1GMP-335-MONOMER	G1GMP-335	Q8EJV6	protein of unknown function DUF1963	
G1GMP-3969-MONOMER	G1GMP-3969	Q8E9I3	N-ribosylnicotinamide phosphorylase NadP	NadP
G1GMP-619-MONOMER	G1GMP-619	Q8EJ18	Mu phage protein	
G1GMP-1304-MONOMER	G1GMP-1304	Q8EH22	SAM-dependent methyltransferase	
G1GMP-2491-MONOMER	G1GMP-2491	Q8EDN6	acteyltransferase GNAT family	
G1GMP-182-MONOMER	G1GMP-182	Q8EK99	selenophosphate synthase SelD	SelD
G1GMP-2684-MONOMER	G1GMP-2684	Q8CM95	ISSod6 transposase TnpA_ISSod6	TnpA
G1GMP-2004-MONOMER	G1GMP-2004	Q8CMD3	ISSod11 transposase TnpA_ISSod11	TnpA
G1GMP-4383-MONOMER	G1GMP-4383	Q8E8C9	Cbb3-type cytochrome oxidase assembly protein CcoG	CcoG
G1GMP-1855-MONOMER	G1GMP-1855	Q8EFG0	DNA polymerase III gamma and tau subunits DnaX	DnaX
G1GMP-4231-MONOMER	G1GMP-4231	Q8E8S9	P pilus subunit FimA	FimA
G1GMP-3823-MONOMER	G1GMP-3823	Q8E9X1	oxidoreductase short-chain dehydrogenase/reductase family	
G1GMP-2919-MONOMER	G1GMP-2919	Q8ECK1	C4-dicarboxylate-responsive two component Sigma54-dependent signal transduction system response regulator DctD	DctD
G1GMP-3891-MONOMER	G1GMP-3891	Q8E9Q2	UDP-3-0-acyl N-acetylglucosamine deacetylase LpxC	LpxC
G1GMP-1186-MONOMER	G1GMP-1186	Q8EHE1	RNA polymerase sigma-70 factor RpoD	RpoD
G1GMP-3264-MONOMER	G1GMP-3264	Q8EBL3	ISSod3 transposase TnpA_ISSod3	TnpA
G1GMP-406-MONOMER	G1GMP-406	Q8EJP0	transcriptional repressor of pyruvate metabolism PdhR	PdhR
G1GMP-4068-MONOMER	G1GMP-4068	Q8E988	D-tyrosyl-tRNA(Tyr) deacylase Dtd	Dtd
G1GMP-3045-MONOMER	G1GMP-3045	Q8EC78	SAM-dependent methyltransferase in polysaccharide biosynthesis locus	
G1GMP-1432-MONOMER	G1GMP-1432	Q8EGP6	TPR domain protein	
G1GMP-1782-MONOMER	G1GMP-1782	Q8EFN8	succinyl-CoA synthase beta subunit SucC	SucC
G1GMP-2745-MONOMER	G1GMP-2745	Q8ECZ9	Lambda phage uncharacterized protein	
G1GMP-745-MONOMER	G1GMP-745	Q8EIP1	diguanylate cyclase	
G1GMP-1548-MONOMER	G1GMP-1548	Q8EGC2	3-hydroxyisobutyrate dehydrogenase	IvdF
G1GMP-2066-MONOMER	G1GMP-2066	Q8EEV1	serine acetyltransferase CysE	CysE
G1GMP-142-MONOMER	G1GMP-142	Q8EKE5	putative adhesin	
G1GMP-3172-MONOMER	G1GMP-3172	Q8EBU1	putative siderophore transporter component 3	
G1GMP-2805-MONOMER	G1GMP-2805	Q8ECU0	TonB-dependent ferric putrebactin siderophore receptor PutA	PutA
G1GMP-878-MONOMER	G1GMP-878	Q8EIA2	predicted transmembrane protein	
G1GMP-4430-MONOMER	G1GMP-4430		resolvase family site-specific recombinase	
G1GMP-4069-MONOMER	G1GMP-4069	Q8E987	hypothetical protein	
G1GMP-1060-MONOMER	G1GMP-1060	Q8EHR1	TonB-dependent siderophore receptor	
G1GMP-3479-MONOMER	G1GMP-3479	Q8EAZ2	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase RfaE	RfaE
G1GMP-3611-MONOMER	G1GMP-3611	Q8EAL1	protein of unknown function DUF3149	
G1GMP-620-MONOMER	G1GMP-620	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-927-MONOMER	G1GMP-927	Q8EI50	rhomboid protease	
G1GMP-4526-MONOMER	G1GMP-4526		hypothetical protein	
G1GMP-1305-MONOMER	G1GMP-1305	Q8EH21	periplasmic RmlC-type Cupin domain family protein	
G1GMP-3734-MONOMER	G1GMP-3734	Q8EA74	predicted membrane protein	
G1GMP-1384-MONOMER	G1GMP-1384	Q8EGU2	glycogen synthase ADP-glucose transglucosylase GlgA	GlgA
G1GMP-112-MONOMER	G1GMP-112	Q8EKH8	protein of unknown function DUF1568	
G1GMP-3970-MONOMER	G1GMP-3970	Q8E9I2	transcriptional activator of nicotinamideribose utilization PnuR	PnuR
G1GMP-2492-MONOMER	G1GMP-2492	Q8EDN5	nitroreductase YdjA	YdjA
G1GMP-4232-MONOMER	G1GMP-4232	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-1762-MONOMER	G1GMP-1762	Q8EFQ9	1,4-dihydroxy-2-naphthoate octaprenyltransferase	MenA
G1GMP-1187-MONOMER	G1GMP-1187	Q8EHD9	DNA primase DnaG	DnaG
G1GMP-989-MONOMER	G1GMP-989	Q8EHY4	catalase HPII KatB	KatB
G1GMP-2920-MONOMER	G1GMP-2920	K4PU34	glycosyl transferase	
G1GMP-3343-MONOMER	G1GMP-3343	K4PSJ9	16S rRNA pseudouridine(516) synthase	
G1GMP-4070-MONOMER	G1GMP-4070	Q8E986	prolyl aminopeptidase S33 family	
G1GMP-1509-MONOMER	G1GMP-1509	Q8EGG5	UDP-3-O-(3-hydroxymyristoyl) glucosamine n-acyltransferase LpxD	LpxD
G1GMP-1061-MONOMER	G1GMP-1061	Q8EHR0	membrane protein of unknown function DUF1624	
G1GMP-746-MONOMER	G1GMP-746	Q8EIP0	periplasmic thioredoxin-family protein	
G1GMP-3046-MONOMER	G1GMP-3046	Q8EC77	SAM-dependent methyltransferase	
G1GMP-67-MONOMER	G1GMP-67	Q8EKM6	YfhM family alpha2-macroglobulin	
G1GMP-4384-MONOMER	G1GMP-4384	Q8E8C8	putative cytoplasmic protein	
G1GMP-1592-MONOMER	G1GMP-1592	Q8EG72	protein of unknown function DUF502	
G1GMP-879-MONOMER	G1GMP-879	Q8EIA1	predicted membrane protein	
G1GMP-3173-MONOMER	G1GMP-3173	Q8EBU0	OsmC/Ohr family protein	
G1GMP-4301-MONOMER	G1GMP-4301	Q8E8K9	ABC-type sulfate/thiosulfate uptakesystem permease component 2 CysW	CysW
G1GMP-4527-MONOMER	G1GMP-4527		hypothetical protein	
G1GMP-267-MONOMER	G1GMP-267	Q8EK29	ornithine carbamoyltransferase ArgF	ArgF
G1GMP-1306-MONOMER	G1GMP-1306	Q8EH20	predicted outer membrane protein	
G1GMP-4071-MONOMER	G1GMP-4071	Q8E985	tRNA-processing RNAse BN Rbn	Rbn
G1GMP-3480-MONOMER	G1GMP-3480	Q8EAZ1	lipid A biosynthesis lauroyl acyltransferase LpxL	LpxL
G1GMP-3612-MONOMER	G1GMP-3612	Q8EAL0	hypothetical protein	
G1GMP-2619-MONOMER	G1GMP-2619	Q8EDC2	protein of unknown function DUF45	
G1GMP-183-MONOMER	G1GMP-183	Q8EK98	fatty acid desaturase Ole1	
G1GMP-4431-MONOMER	G1GMP-4431	Q7CCS5	ISSod1, transposase OrfA	
G1GMP-3735-MONOMER	G1GMP-3735	Q8EA73	hypothetical protein	
G1GMP-336-MONOMER	G1GMP-336	Q8EJV5	two component signal transduction system response regulator LuxR family	
G1GMP-3971-MONOMER	G1GMP-3971	Q8E9I1	chloramphenicol O-acetyltransferase CatB	CatB
G1GMP-1549-MONOMER	G1GMP-1549	Q8EGC1	3-hydroxyacyl-CoA dehydrogenase IvdG	IvdG
G1GMP-2493-MONOMER	G1GMP-2493	Q8EDN3	DoxD-like inner membrane protein	
G1GMP-1188-MONOMER	G1GMP-1188	Q8EHD8	transamidase with YqeY domain	
G1GMP-1676-MONOMER	G1GMP-1676	Q8EFY9	TonB2 energy transduction system inner membrane component TtpC	TtpC
G1GMP-2685-MONOMER	G1GMP-2685	Q8ED59	bidirectional formate transporter FocA	FocA
G1GMP-515-MONOMER	G1GMP-515	K4PTZ6	two component signal transduction system response regulator	
G1GMP-4385-MONOMER	G1GMP-4385	Q8E8C7	1,4-dihydroxy-2-naphthoyl-CoA synthase	MenB
G1GMP-747-MONOMER	G1GMP-747	Q8EIN9	TonB-dependent receptor	
G1GMP-3824-MONOMER	G1GMP-3824	Q8E9X0	periplasmic monoheme cytochrome c	
G1GMP-2921-MONOMER	G1GMP-2921	Q8ECK0	thymidine kinase Tdk	Tdk
G1GMP-880-MONOMER	G1GMP-880	Q8EIA0	signalling protein with PAS and GGDEF domains	
G1GMP-3892-MONOMER	G1GMP-3892	Q8E9Q1	cell division filament FtsZ	FtsZ
G1GMP-4072-MONOMER	G1GMP-4072	Q8E984	hypothetical protein	
G1GMP-2067-MONOMER	G1GMP-2067	Q8EEV0	transcriptional repressor of iron-sulfur cluster assembly genes IscR	IscR
G1GMP-3047-MONOMER	G1GMP-3047	Q8EC76	flagellin modification glycoside hydrolase family 57	
G1GMP-928-MONOMER	G1GMP-928	Q8EI49	calcium:proton antiporter ChaA	ChaA
G1GMP-4529-MONOMER	G1GMP-4529	Q8CMB0	ISSod13, transposase	
G1GMP-2746-MONOMER	G1GMP-2746	Q8ECZ8	Lambda phage lysozyme R	
G1GMP-4233-MONOMER	G1GMP-4233	Q8CME4	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-2806-MONOMER	G1GMP-2806	Q8ECT9	ferric putrebactin reductase PutB	PutB
G1GMP-1307-MONOMER	G1GMP-1307	Q8EH19	outer membrane beta barrel protein	
G1GMP-3174-MONOMER	G1GMP-3174	Q8EBT9	hypothetical protein	
G1GMP-621-MONOMER	G1GMP-621	Q8EJ17	Mu phage uncharacterized protein E18	
G1GMP-1629-MONOMER	G1GMP-1629	Q8EG32	extracellular respiratory system surface decaheme cytochrome c component MtrF	MtrF
G1GMP-1189-MONOMER	G1GMP-1189	Q8EHD7	30S ribosomal protein S21 RpsU	RpsU
G1GMP-3481-MONOMER	G1GMP-3481	Q8EAZ0	K+:H+ antiporter KhaP	KhaP
G1GMP-4073-MONOMER	G1GMP-4073	Q8E983	lipopotein of unknown function DUF2959	
G1GMP-3298-MONOMER	G1GMP-3298	Q8EBH8	transcriptional activator HlyU	HlyU
G1GMP-3613-MONOMER	G1GMP-3613	Q8EAK8	two component signal transduction system histidine kinase	
G1GMP-3736-MONOMER	G1GMP-3736	Q8EA72	predicted lipoprotein	
G1GMP-2005-MONOMER	G1GMP-2005	Q8EF16	hsp70 family protein YegD	YegD
G1GMP-268-MONOMER	G1GMP-268	Q8EK28	argininosuccinate synthase ArgG	ArgG
G1GMP-990-MONOMER	G1GMP-990	Q8EHY3	membrane protein of unknown function UPF0016	
G1GMP-881-MONOMER	G1GMP-881	Q8EI99	radical SAM protein TatD family-associated	
G1GMP-3344-MONOMER	G1GMP-3344	Q8EBE1	superoxide-responsive transcriptional repressor of superoxide stress response AzrR	AzrR
G1GMP-480-MONOMER	G1GMP-480	Q8EJG2	Sel1 repeat protein	
G1GMP-3972-MONOMER	G1GMP-3972	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-68-MONOMER	G1GMP-68	Q8EKM5	penicillin binding protein 1C PbpC	PbpC
G1GMP-2494-MONOMER	G1GMP-2494	Q8EDN2	predicted lipoprotein	
G1GMP-748-MONOMER	G1GMP-748	Q8EIN8	protein of unknown function DUF985	
G1GMP-1062-MONOMER	G1GMP-1062	Q8EHQ9	DNA-binding ferritin-like protein (oxidative damage protectant) DpsA	DpsA
G1GMP-1819-MONOMER	G1GMP-1819	Q8EFK0	AMP-dependent synthetase and ligase family protein	
G1GMP-2923-MONOMER	G1GMP-2923	Q8ECJ9	dipepidyl carboxypeptidase II Dcp	Dcp
G1GMP-1722-MONOMER	G1GMP-1722	Q8EFU9	ABC-type export system permease component	
G1GMP-4432-MONOMER	G1GMP-4432		ISSod1, transposase OrfB	
G1GMP-4074-MONOMER	G1GMP-4074	Q8E982	iron-sulfur cluster-binding protein	
G1GMP-2163-MONOMER	G1GMP-2163	Q8EEL4	predicted lipoprotein	
G1GMP-3048-MONOMER	G1GMP-3048	Q8EC75	flagellin modification protein	
G1GMP-1469-MONOMER	G1GMP-1469	K4PSF1	omega-3 polyunsaturated fatty acid synthase PfaB	PfaB
G1GMP-2125-MONOMER	G1GMP-2125	Q8EEQ1	chemotaxis signal transduction system chemoreceptor glutamine deamidase CheD	CheD
G1GMP-1308-MONOMER	G1GMP-1308	Q8EH18	flavocytochrome c heme submit	
G1GMP-4234-MONOMER	G1GMP-4234	Q8E8S8	RNA polymerase sigma-32 factor RpoH	RpoH
G1GMP-1385-MONOMER	G1GMP-1385	Q8EGU1	bifunctional diguanylate cyclase with PAS sensory domains/diguanylate phosphodiesterase	
G1GMP-3175-MONOMER	G1GMP-3175	Q8EBT8	predicted non-catalytic member of peptidase subfamily S41B	
G1GMP-337-MONOMER	G1GMP-337	Q8EJV4	two component signal transduction system histidine kinase	
G1GMP-4302-MONOMER	G1GMP-4302	Q8E8K8	ABC-type sulfate/thiosulfate uptakesystem ATPase component CysA	CysA
G1GMP-622-MONOMER	G1GMP-622	Q8EJ16	Mu phage lysozyme	
G1GMP-4530-MONOMER	G1GMP-4530	Q8E829	ISSod12, transposase	
G1GMP-2126-MONOMER	G1GMP-2126	Q8EEQ0	chemotaxis signal transduction system response regulator with glutamate methylesterase domain CheB	CheB
G1GMP-407-MONOMER	G1GMP-407	Q8EJN9	pyruvate dehydrogenase E1 component AceE	AceE
G1GMP-1856-MONOMER	G1GMP-1856	Q8EFF9	DNA-binding protein YbaB	YbaB
G1GMP-2620-MONOMER	G1GMP-2620	Q8EDC1	hypothetical protein	
G1GMP-1190-MONOMER	G1GMP-1190	Q8EHD6	essential endopeptidase YgiD	YgiD
G1GMP-749-MONOMER	G1GMP-749	Q8EIN6	esterase/lipase/thioesterase domain protein	
G1GMP-4386-MONOMER	G1GMP-4386	Q8E8C6	predicted membrane protein of unknown function DUF2061	
G1GMP-4075-MONOMER	G1GMP-4075	Q8E981	bifunctional catalase/peroxidase HPI KatG	KatG
G1GMP-3482-MONOMER	G1GMP-3482	Q8EAY9	LD-transpeptidase YbiS	YbiS
G1GMP-1434-MONOMER	G1GMP-1434	Q8EGP3	putative exonuclease RdgC	RdgC
G1GMP-3614-MONOMER	G1GMP-3614	Q8EAK7	HesA/MoeB/ThiF family protein	
G1GMP-184-MONOMER	G1GMP-184	Q8EK97	transcriptional repressor of fatty acid biosynthesis FabR	FabR
G1GMP-882-MONOMER	G1GMP-882	Q8EI98	RND superfamily efflux pump permease component	
G1GMP-2127-MONOMER	G1GMP-2127	Q8EEP9	translation elongation factor P Efp	Efp
G1GMP-3737-MONOMER	G1GMP-3737	Q8EA71	hypothetical protein	
G1GMP-2068-MONOMER	G1GMP-2068	Q8EEU9	cysteine desulfurase IscS	IscS
G1GMP-451-MONOMER	G1GMP-451	Q8EJJ0	protein of unknown function DUF2166	
G1GMP-2495-MONOMER	G1GMP-2495	Q8EDN1	predicted thiamine kinase ThiK	ThiK
G1GMP-2686-MONOMER	G1GMP-2686	Q8ED58	pyruvate formate-lyase PflB	PflB
G1GMP-3973-MONOMER	G1GMP-3973	Q8E9I0	repair of iron centers (RIC) protein DnrN	DnrN
G1GMP-2128-MONOMER	G1GMP-2128	Q8EEP8	Efp-associated protein of unknown function DUF2331	
G1GMP-1783-MONOMER	G1GMP-1783	Q8EFN7	succinyl-CoA synthase alpha subunit SucD	SucD
G1GMP-929-MONOMER	G1GMP-929	Q8EI48	outer membrane morn variant repeat-containing protein	
G1GMP-1893-MONOMER	G1GMP-1893	Q8EFC6	S-formylglutathione hydrolase FrmB	FrmB
G1GMP-1309-MONOMER	G1GMP-1309	Q8EH17	flavocytochrome c flavin subunit	
G1GMP-3825-MONOMER	G1GMP-3825	Q8E9W9	outer membrane protein of unknown function DUF3373	
G1GMP-2925-MONOMER	G1GMP-2925	Q8ECJ8	electron transfer flavoprotein alpha subunit EtfA	EtfA
G1GMP-4076-MONOMER	G1GMP-4076	Q8E979	diguanylate cyclase	
G1GMP-3893-MONOMER	G1GMP-3893	Q8E9Q0	cell division protein FtsA	FtsA
G1GMP-3265-MONOMER	G1GMP-3265	Q8EBL2	protein of unknown function DUF861	
G1GMP-2747-MONOMER	G1GMP-2747	Q8ECZ7	Lambda phage pyridoxal phosphate dependent enzyme	
G1GMP-1063-MONOMER	G1GMP-1063	Q8EHQ8	DNA polymerase III psi subunit HolD	HolD
G1GMP-4235-MONOMER	G1GMP-4235	Q8E8S7	ABC-type cell division-associated export system permease component FtsX	FtsX
G1GMP-3049-MONOMER	G1GMP-3049	Q8EC74	C4 aminotransferase for PseB product PseC	PseC
G1GMP-516-MONOMER	G1GMP-516	Q8EJC2	two component signal transduction system response regulator with diguanylate cyclase/phosphodiesterase acitivity	
G1GMP-623-MONOMER	G1GMP-623	Q8EJ15	Mu phage conserved phage protein	
G1GMP-2129-MONOMER	G1GMP-2129	Q8EEP7	flavodoxin FldA	FldA
G1GMP-3176-MONOMER	G1GMP-3176	Q8EBT7	periplasmic solute binding protein	
G1GMP-2807-MONOMER	G1GMP-2807	P59365	intracellular septation protein IspZ	IspZ
G1GMP-2006-MONOMER	G1GMP-2006	Q8EF15	lipoprotein CreA	CreA
G1GMP-1191-MONOMER	G1GMP-1191	P59251	acyl-PO4 glycerol-3-phosphate acyltransferase PlsY	PlyY
G1GMP-1550-MONOMER	G1GMP-1550	Q8EGB9	hypothetical protein	
G1GMP-1510-MONOMER	G1GMP-1510	Q8EGG4	(3R)-hydroxymyristoyl-(acyl-carrier-protein) dehydratase FabZ	FabZ
G1GMP-143-MONOMER	G1GMP-143	Q8EKE4	SAM-dependent methyltransferase type 11	
G1GMP-2130-MONOMER	G1GMP-2130	Q8EEP6	ribbon-helix-helix protein repressor CopG family YbfE	YbfE
G1GMP-69-MONOMER	G1GMP-69	Q8EKM4	phage shock protein B family protein	
G1GMP-269-MONOMER	G1GMP-269	Q8EK27	argininosuccinate lyase ArgH	ArgH
G1GMP-991-MONOMER	G1GMP-991		N-acetylglucosamine-binding protein A GbpA	GbpA
G1GMP-750-MONOMER	G1GMP-750	Q8EIN5	multidrug and toxin efflux protein MATE family	
G1GMP-883-MONOMER	G1GMP-883	Q8EI97	RND superfamily efflux pump MFP component	
G1GMP-4077-MONOMER	G1GMP-4077	Q8E978	GTP-binding protein BipA	BipA
G1GMP-3483-MONOMER	G1GMP-3483	Q8EAY8	N-acetyl-L-ornithine deacetylase ArgE	ArgE
G1GMP-3615-MONOMER	G1GMP-3615	Q8EAK6	outer membrane porin Omp35	
G1GMP-1946-MONOMER	G1GMP-1946	Q8EF70	acetyl-CoA synthetase acetylase YfiQ	YfiQ
G1GMP-3738-MONOMER	G1GMP-3738	Q8EA70	hydrolase haloacid dehalogenase-like family	
G1GMP-2496-MONOMER	G1GMP-2496	Q8EDN0	thiamin uptake permease PnuT	PnuT
G1GMP-3345-MONOMER	G1GMP-3345	Q8EBE0	NADPH-dependent azoreductase Azr	Azr
G1GMP-1594-MONOMER	G1GMP-1594	Q8EG70	HNH endonuclease	
G1GMP-3974-MONOMER	G1GMP-3974	Q8E9H9	ATPase family protein associated with various cellular activities	
G1GMP-4531-MONOMER	G1GMP-4531		hypothetical protein	
G1GMP-2131-MONOMER	G1GMP-2131	Q8EEP5	protein of unknown function DUF2788	
G1GMP-2926-MONOMER	G1GMP-2926	Q8ECJ7	electron transfer flavoprotein beta subunit EtfB	EtfB
G1GMP-3050-MONOMER	G1GMP-3050	Q8EC73	bifunctional UDP GlcNAc C6 dehydratase/C5 epimerase PseB	PseB
G1GMP-884-MONOMER	G1GMP-884	Q8EI96	ATP-dependent RNA helicase SrmB	SrmB
G1GMP-338-MONOMER	G1GMP-338	Q8EJV3	TPR domain protein	
G1GMP-1310-MONOMER	G1GMP-1310	Q8EH16	transcriptional repressor of flavocytochrome c TetR family	
G1GMP-624-MONOMER	G1GMP-624	Q8EJ14	Mu phage mom transcriptional regulator Com	Com
G1GMP-4433-MONOMER	G1GMP-4433		hypothetical protein	
G1GMP-4078-MONOMER	G1GMP-4078	Q8E976	glutamine synthetase GlnA	GlnA
G1GMP-4236-MONOMER	G1GMP-4236	Q8E8S6	ABC-type cell division-associated export system ATPase component FtsE	FtsE
G1GMP-2132-MONOMER	G1GMP-2132	Q8EEP4	putative esterase YbfF	YbfF
G1GMP-3177-MONOMER	G1GMP-3177	Q8EBT6	threonine synthase ThrC	ThrC
G1GMP-4303-MONOMER	G1GMP-4303	Q8E8K7	putative cytoplasmic protein	
G1GMP-1192-MONOMER	G1GMP-1192	Q8EHD5	dihydroneopterin aldolase FolB	FolB
G1GMP-751-MONOMER	G1GMP-751	Q8EIN3	hypothetical protein	
G1GMP-186-MONOMER	G1GMP-186	Q8EK94	predicted membrane protein	
G1GMP-1677-MONOMER	G1GMP-1677	Q8EFY8	TonB2 energy transduction system inner membrane component ExbB	ExbB
G1GMP-930-MONOMER	G1GMP-930	Q8EI47	outer membrane morn variant repeat-containing protein	
G1GMP-2069-MONOMER	G1GMP-2069	Q8EEU8	FeS cluster assembly scaffold protein IscU	IscU
G1GMP-2621-MONOMER	G1GMP-2621	Q8EDC0	subfamily M23B unassigned peptidase	
G1GMP-2133-MONOMER	G1GMP-2133	Q8EEP2	negative regulator of DNA replication SeqA	SeqA
G1GMP-4079-MONOMER	G1GMP-4079	Q8E974	protein of unknown function DUF1375	
G1GMP-3484-MONOMER	G1GMP-3484	K4PU41	predicted non-catalytic member of peptidase subfamily M16B	
G1GMP-3616-MONOMER	G1GMP-3616	Q8EAK5	DNA topoisomerase IV A subunit ParC	ParC
G1GMP-3739-MONOMER	G1GMP-3739	Q8EA69	10 TMS drug/metabolite efflux pump (DME) family	
G1GMP-1064-MONOMER	G1GMP-1064	Q8EHQ7	ribosomal-protein-alanine acetyltransferase RimI	RimI
G1GMP-2134-MONOMER	G1GMP-2134	Q8EEP1	phosphoglucomutase alpha-D-glucose phosphate-specific Pgm	Pgm
G1GMP-2497-MONOMER	G1GMP-2497	Q8EDM9	thiamin/hydroxymethyl pyrimidine-binding protein YkoF	YkoF
G1GMP-2687-MONOMER	G1GMP-2687	Q8ED57	pyruvate formate-lyase 1 activating enzyme PflA	PflA
G1GMP-3975-MONOMER	G1GMP-3975	Q8E9H8	nickel uptake transporter HupE	HupE
G1GMP-4387-MONOMER	G1GMP-4387	Q8CX33	glutamine:fructose-6-phosphate transaminase (isomerizing) GlmS	GlmS
G1GMP-1311-MONOMER	G1GMP-1311	Q8EH15	two component signal transduction system response regulator LuxR family	
G1GMP-1386-MONOMER	G1GMP-1386	Q8EGU0	ATP-dependent RNA helicase DEAD box family	
G1GMP-885-MONOMER	G1GMP-885	Q8EI95	tRNA (adenine-N(6)-)-methyltransferase YfiC	YfiC
G1GMP-2927-MONOMER	G1GMP-2927	Q8ECJ6	DNA-binding protein H-NS family	
